,Name,Rating,Genre,Release Date,Runtime,Director,Url
36,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,84.0,"Animation, Action, Adventure, Fantasy",08/13/2021,1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
37,The Requin,48.0,Thriller,01/28/2022,1h 29m,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
38,Fistful of Vengeance,54.0,"Action, Crime, Fantasy",02/17/2022,1h 34m,Roel Reiné,https://www.themoviedb.org/movie/890656
39,Nightmare Alley,71.0,"Crime, Drama, Thriller",12/03/2021,2h 30m,Guillermo del Toro,https://www.themoviedb.org/movie/597208
40,The Jack in the Box: Awakening,61.0,Horror,02/24/2022,1h 29m,Lawrence Fowler,https://www.themoviedb.org/movie/801071
41,Ghostbusters: Afterlife,77.0,"Fantasy, Comedy, Adventure",11/11/2021,2h 4m,Jason Reitman,https://www.themoviedb.org/movie/425909
42,Morbius,58.0,"Action, Science Fiction, Fantasy",04/01/2022,1h 44m,Roy Thomas,https://www.themoviedb.org/movie/526896
43,Shang-Chi and the Legend of the Ten Rings,77.0,"Action, Adventure, Fantasy",09/03/2021,2h 12m,Destin Daniel Cretton,https://www.themoviedb.org/movie/566525
44,Scream,68.0,"Horror, Mystery, Thriller",01/14/2022,1h 54m,Kevin Williamson,https://www.themoviedb.org/movie/646385
45,Resident Evil: Welcome to Raccoon City,62.0,"Horror, Action, Science Fiction",11/26/2021,1h 47m,Johannes Roberts,https://www.themoviedb.org/movie/460458
46,The Matrix Resurrections,67.0,"Science Fiction, Action, Adventure",12/22/2021,2h 28m,Lana Wachowski,https://www.themoviedb.org/movie/624860
47,The Lost City,70,"Action, Adventure, Comedy, Romance",03/25/2022,1h 52m,Adam Nee,https://www.themoviedb.org/movie/752623
48,Jackass Forever,69.0,"Comedy, Documentary",02/04/2022,1h 36m,Jeff Tremaine,https://www.themoviedb.org/movie/656663
49,Pursuit,55.0,"Action, Crime, Thriller",02/18/2022,1h 32m,Brian Skiba,https://www.themoviedb.org/movie/871799
50,Looop Lapeta,62.0,"Action, Comedy, Crime",02/04/2022,2h 11m,Aakash Bhatia,https://www.themoviedb.org/movie/783461
51,Run Gun,53.0,"Action, Thriller",01/11/2022,1h 36m,Christopher Borrelli,https://www.themoviedb.org/movie/910596
52,The Boss Baby: Family Business,76.0,"Animation, Comedy, Adventure, Family",07/02/2021,1h 47m,Michael McCullers,https://www.themoviedb.org/movie/459151
53,The Northman,78.0,"Action, Adventure, Drama, Thriller",04/22/2022,2h 17m,Robert Eggers,https://www.themoviedb.org/movie/639933
54,The Bubble,48.0,Comedy,03/25/2022,2h 6m,Judd Apatow,https://www.themoviedb.org/movie/765119
55,Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy",11/10/2021,1h 37m,Norman Bridwell,https://www.themoviedb.org/movie/585245
56,Texas Chainsaw Massacre,51.0,"Horror, Thriller",02/18/2022,1h 23m,Tobe Hooper,https://www.themoviedb.org/movie/632727
57,The 355,60,"Action, Thriller",01/07/2022,2h 2m,Simon Kinberg,https://www.themoviedb.org/movie/522016
58,The Seven Deadly Sins: Cursed by Light,79.0,"Animation, Fantasy",07/02/2021,1h 19m,Takayuki Hamana,https://www.themoviedb.org/movie/843241
59,The House,70,"Animation, Drama, Comedy, Horror",01/14/2022,1h 37m,Paloma Baeza,https://www.themoviedb.org/movie/926899
60,American Siege,57.0,"Action, Thriller, Crime, Drama",03/31/2022,1h 30m,Edward Drake,https://www.themoviedb.org/movie/766907
61,Dancing on Glass,59.0,Drama,04/08/2022,2h 17m,Jota Linares,https://www.themoviedb.org/movie/800407
62,The Bad Guys,74.0,"Animation, Comedy, Action, Family, Crime",04/22/2022,1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
63,Death on the Nile,65.0,"Crime, Drama, Mystery, Thriller",02/11/2022,2h 7m,Kenneth Branagh,https://www.themoviedb.org/movie/505026
64,PAW Patrol: The Movie,75.0,"Animation, Family, Adventure, Comedy",08/20/2021,1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
65,Tom and Jerry: Cowboy Up!,70,"Animation, Comedy, Family, Western",01/25/2022,1h 15m,William Hanna,https://www.themoviedb.org/movie/892153
66,Pirates of the Caribbean: On Stranger Tides,65.0,"Adventure, Action, Fantasy",05/20/2011,2h 17m,Rob Marshall,https://www.themoviedb.org/movie/1865
67,Red Notice,68.0,"Action, Comedy, Crime, Thriller",11/05/2021,1h 58m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195
68,Pirates of the Caribbean: Dead Man's Chest,73.0,"Adventure, Fantasy, Action",07/07/2006,2h 31m,Terry Rossio,https://www.themoviedb.org/movie/58
69,Pirates of the Caribbean: The Curse of the Black Pearl,78.0,"Adventure, Fantasy, Action",08/15/2003,2h 23m,Gore Verbinski,https://www.themoviedb.org/movie/22
70,The Simpsons in Plusaversary,67.0,"Animation, Comedy, Fantasy",11/12/2021,4m,David Silverman,https://www.themoviedb.org/movie/877183
71,Ron's Gone Wrong,81.0,"Animation, Science Fiction, Family, Comedy",10/22/2021,1h 47m,Sarah Smith,https://www.themoviedb.org/movie/482321
72,Forever Out of My League,55.0,"Romance, Comedy",01/31/2022,1h 44m,Roberto Proia,https://www.themoviedb.org/movie/790525
73,Deep Water,56.0,"Drama, Mystery, Thriller",03/18/2022,1h 56m,Adrian Lyne,https://www.themoviedb.org/movie/619979
74,Pirates of the Caribbean: At World's End,72.0,"Adventure, Fantasy, Action",05/19/2007,2h 49m,Terry Rossio,https://www.themoviedb.org/movie/285
75,Luca,80,"Animation, Comedy, Family, Fantasy, Adventure",06/17/2021,1h 35m,Enrico Casarosa,https://www.themoviedb.org/movie/508943
76,Echoes of a Crime,70,"Thriller, Horror",01/27/2022,,Cristian Bernard,https://www.themoviedb.org/movie/842052
77,All Hail,62.0,"Comedy, Drama",03/30/2022,1h 58m,Marcos Carnevale,https://www.themoviedb.org/movie/682344
78,Chernobyl: Abyss,62.0,"Drama, History, Adventure",04/15/2021,2h 16m,Danila Kozlovsky,https://www.themoviedb.org/movie/589761
79,Sex Appeal,66.0,"Comedy, Romance",01/14/2022,1h 30m,Talia Osteen,https://www.themoviedb.org/movie/803104
80,Mortal Kombat,72.0,"Action, Fantasy, Adventure",04/23/2021,1h 50m,Greg Russo,https://www.themoviedb.org/movie/460465
81,One Shot,68.0,Action,01/21/2022,1h 37m,James Nunn,https://www.themoviedb.org/movie/811592
82,Ambulance,67.0,"Action, Crime, Thriller",04/08/2022,2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285
83,Through My Window,77.0,"Romance, Drama",02/04/2022,1h 52m,Marçal Forés,https://www.themoviedb.org/movie/818647
84,Queen of Spades,63.0,Horror,08/19/2021,1h 31m,Patrick White,https://www.themoviedb.org/movie/829358
85,Doctor Strange in the Multiverse of Madness,0,"Fantasy, Action, Adventure",05/06/2022,2h 6m,Stan Lee,https://www.themoviedb.org/movie/453395
86,Marry Me,69.0,"Romance, Comedy, Music",02/11/2022,1h 52m,Kat Coiro,https://www.themoviedb.org/movie/615904
87,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,63.0,"Animation, Action, Adventure, Fantasy",07/30/2021,1h 34m,Toshifumi Akai,https://www.themoviedb.org/movie/829920
88,The Hunting,52.0,Horror,01/21/2022,1h 31m,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671
89,No Time to Die,75.0,"Adventure, Action, Thriller",09/30/2021,2h 43m,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172
90,Brazen,49.0,"Thriller, Mystery, Drama",01/13/2022,1h 34m,Monika Mitchell,https://www.themoviedb.org/movie/916740
91,Dune,79.0,"Science Fiction, Adventure",10/22/2021,2h 35m,Denis Villeneuve,https://www.themoviedb.org/movie/438631
92,Battle: Freestyle,49.0,"Romance, Drama",04/01/2022,1h 28m,Ingvild Søderlind,https://www.themoviedb.org/movie/785521
93,Cruella,82.0,"Comedy, Crime",05/28/2021,2h 14m,Craig Gillespie,https://www.themoviedb.org/movie/337404
94,Free Guy,77.0,"Comedy, Action, Adventure, Science Fiction",09/17/2021,1h 55m,Matt Lieberman,https://www.themoviedb.org/movie/550988
95,Antlers,64.0,"Drama, Horror, Mystery",10/29/2021,1h 39m,Scott Cooper,https://www.themoviedb.org/movie/516329
96,Better Nate Than Ever,70,"Music, Family, Comedy",04/01/2022,1h 32m,Tim Federle,https://www.themoviedb.org/movie/826953
97,The Weekend Away,59.0,"Thriller, Mystery",03/03/2022,1h 31m,Sarah Alderson,https://www.themoviedb.org/movie/840882
98,The Suicide Squad,77.0,"Action, Adventure, Fantasy",08/06/2021,2h 12m,James Gunn,https://www.themoviedb.org/movie/436969
99,The Last Warrior: Root of Evil,72.0,"Fantasy, Adventure, Comedy",01/01/2021,2h,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
100,Cheaper by the Dozen,63.0,"Family, Comedy",03/18/2022,1h 47m,Gail Lerner,https://www.themoviedb.org/movie/691683
101,F9,73.0,"Action, Crime, Thriller, Adventure",06/25/2021,2h 23m,Justin Lin,https://www.themoviedb.org/movie/385128
102,Diary of a Wimpy Kid,64.0,"Animation, Comedy, Family",12/03/2021,58m,Jeff Kinney,https://www.themoviedb.org/movie/774741
103,Jujutsu Kaisen 0,77.0,"Animation, Action, Adventure, Mystery",12/24/2021,1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
104,Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",04/27/2018,2h 29m,Anthony Russo,https://www.themoviedb.org/movie/299536
105,Mother/Android,58.0,"Science Fiction, Thriller",12/17/2021,1h 51m,Mattson Tomlin,https://www.themoviedb.org/movie/739413
106,After We Fell,71.0,"Romance, Drama",09/30/2021,1h 39m,Castille Landon,https://www.themoviedb.org/movie/744275
107,Two,54.0,"Thriller, Horror",07/23/2021,1h 11m,Mike Hostench,https://www.themoviedb.org/movie/811072
108,Deathstroke: Knights & Dragons - The Movie,69.0,"Animation, Action, Adventure, Science Fiction",08/04/2020,1h 27m,George Pérez,https://www.themoviedb.org/movie/703771
109,365 Days: This Day,20,"Drama, Romance",04/27/2022,1h 49m,Barbara Bialowas,https://www.themoviedb.org/movie/829557
110,Zack Snyder's Justice League,83.0,"Action, Adventure, Fantasy, Science Fiction",03/18/2021,4h 2m,Zack Snyder,https://www.themoviedb.org/movie/791373
111,Fantastic Beasts and Where to Find Them,74.0,"Adventure, Fantasy",11/18/2016,2h 12m,J.K. Rowling,https://www.themoviedb.org/movie/259316
112,Finch,81.0,"Science Fiction, Drama, Adventure",11/04/2021,1h 55m,Miguel Sapochnik,https://www.themoviedb.org/movie/522402
113,Moonshot,0,"Comedy, Romance, Science Fiction",05/05/2022,1h 44m,Christopher Winterbauer,https://www.themoviedb.org/movie/767825
114,Doctor Strange,74.0,"Action, Adventure, Fantasy, Science Fiction",11/04/2016,1h 55m,Scott Derrickson,https://www.themoviedb.org/movie/284052
115,Pirates of the Caribbean: Dead Men Tell No Tales,66.0,"Adventure, Action, Fantasy",05/26/2017,2h 9m,Terry Rossio,https://www.themoviedb.org/movie/166426
116,Infinite,68.0,"Science Fiction, Action, Thriller",09/09/2021,1h 46m,Antoine Fuqua,https://www.themoviedb.org/movie/581726
117,Godzilla vs. Kong,78.0,"Action, Fantasy, Science Fiction",03/24/2021,1h 53m,Adam Wingard,https://www.themoviedb.org/movie/399566
118,S.O.S. Mamis: La película,56.0,Comedy,03/18/2022,1h 45m,Gabriela Sobarzo,https://www.themoviedb.org/movie/949218
119,Paranormal Activity: Next of Kin,65.0,"Horror, Mystery, Thriller",10/29/2021,1h 38m,William Eubank,https://www.themoviedb.org/movie/609972
120,Jungle Cruise,76.0,"Action, Adventure, Fantasy",09/24/2021,2h 7m,Jaume Collet-Serra,https://www.themoviedb.org/movie/451048
121,Riverdance: The Animated Adventure,52.0,"Animation, Fantasy, Music, Adventure, Comedy, Family",01/14/2022,1h 26m,Dave Rosenbaum,https://www.themoviedb.org/movie/756403
122,The Exorcism of God,66.0,Horror,02/10/2022,1h 38m,Alejandro Hidalgo,https://www.themoviedb.org/movie/836225
123,Un Rabón Con Corazón,66.0,Comedy,01/27/2022,,Juan Carlos Vásquez,https://www.themoviedb.org/movie/943158
124,Back to the Outback,76.0,"Animation, Family, Adventure, Comedy",12/03/2021,1h 32m,Harry Cripps,https://www.themoviedb.org/movie/770254
125,Coraline,78.0,"Animation, Family, Fantasy",02/06/2009,1h 40m,Henry Selick,https://www.themoviedb.org/movie/14836
126,Avatar,75.0,"Action, Adventure, Fantasy, Science Fiction",08/27/2010,2h 42m,James Cameron,https://www.themoviedb.org/movie/19995
127,Dragon Ball Z: Resurrection 'F',68.0,"Action, Animation, Science Fiction",04/18/2015,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
128,Fantastic Beasts: The Crimes of Grindelwald,69.0,"Adventure, Fantasy, Drama",11/16/2018,2h 14m,David Yates,https://www.themoviedb.org/movie/338952
129,Space Jam: A New Legacy,71.0,"Family, Animation, Comedy, Science Fiction",07/16/2021,1h 55m,Keenan Coogler,https://www.themoviedb.org/movie/379686
130,Without Saying Goodbye,68.0,"Comedy, Romance",03/18/2022,1h 36m,Bruno Ascenzo,https://www.themoviedb.org/movie/944664
131,Save The Trees,44.0,Animation,12/01/2021,1h 20m,Iker Alvarez,https://www.themoviedb.org/movie/886896
132,The Unholy,68.0,Horror,04/02/2021,1h 39m,Evan Spiliotopoulos,https://www.themoviedb.org/movie/632357
133,The Croods: A New Age,76.0,"Animation, Family, Adventure, Fantasy, Comedy",11/25/2020,1h 35m,Kirk DeMicco,https://www.themoviedb.org/movie/529203
134,Raya and the Last Dragon,80,"Animation, Family, Fantasy, Action, Adventure",03/05/2021,1h 47m,Don Hall,https://www.themoviedb.org/movie/527774
135,Black Widow,75.0,"Action, Adventure, Science Fiction",07/09/2021,2h 14m,Cate Shortland,https://www.themoviedb.org/movie/497698
136,Meander,60,"Horror, Science Fiction, Drama, Thriller",05/26/2021,1h 31m,Mathieu Turi,https://www.themoviedb.org/movie/523936
137,Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation, Comedy, Family, Adventure",05/15/2021,52m,Thomas Astruc,https://www.themoviedb.org/movie/726684
138,Tarumama,48.0,"Horror, Drama",07/29/2021,1h 30m,Andres Beltran,https://www.themoviedb.org/movie/775943
139,Dark Spell,67.0,"Romance, Horror, Thriller",02/11/2021,1h 32m,Svyatoslav Podgaevsky,https://www.themoviedb.org/movie/633802
140,The Tomorrow War,80,"Action, Science Fiction, Adventure",07/02/2021,2h 18m,Chris McKay,https://www.themoviedb.org/movie/588228
141,¿Y cómo es él?,0,Comedy,04/07/2022,1h 35m,Ariel Winograd,https://www.themoviedb.org/movie/671318
142,Old,66.0,"Thriller, Mystery, Horror",07/23/2021,1h 48m,M. Night Shyamalan,https://www.themoviedb.org/movie/631843
143,Zeros and Ones,52.0,"Thriller, War",11/19/2021,1h 25m,Abel Ferrara,https://www.themoviedb.org/movie/762433
144,"Miraculous World: New York, United HeroeZ",83.0,"Animation, Family, Comedy, Adventure, TV Movie",11/21/2020,55m,Thomas Astruc,https://www.themoviedb.org/movie/755812
145,Dangerous,63.0,"Action, Thriller",11/05/2021,1h 39m,David Hackl,https://www.themoviedb.org/movie/763788
146,Mobile Suit Gundam Hathaway,76.0,"Animation, Action, Drama, Science Fiction",06/11/2021,1h 36m,Shuko Murase,https://www.themoviedb.org/movie/685274
147,West Side Story,72.0,"Drama, Romance, Crime",12/10/2021,2h 37m,Steven Spielberg,https://www.themoviedb.org/movie/511809
148,The Last Duel,76.0,"Action, Drama, History",10/22/2021,2h 33m,Ridley Scott,https://www.themoviedb.org/movie/617653
149,Don't Breathe 2,74.0,"Thriller, Horror",09/17/2021,1h 38m,Rodo Sayagues,https://www.themoviedb.org/movie/482373
150,The Novice,65.0,"Drama, Thriller",03/24/2022,1h 34m,Lauren Hadaway,https://www.themoviedb.org/movie/821427
151,Harry Potter and the Philosopher's Stone,79.0,"Adventure, Fantasy",04/12/2002,2h 32m,Chris Columbus,https://www.themoviedb.org/movie/671
152,The Addams Family 2,71.0,"Animation, Adventure, Comedy, Family",10/01/2021,1h 33m,Benji Samit,https://www.themoviedb.org/movie/639721
153,The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller",06/04/2021,1h 51m,David Leslie Johnson-McGoldrick,https://www.themoviedb.org/movie/423108
154,Hacksaw Ridge,82.0,"Drama, History, War",10/07/2016,2h 19m,Mel Gibson,https://www.themoviedb.org/movie/324786
155,Seal Team,72.0,"Animation, Family, Comedy",10/28/2021,1h 38m,Greig Cameron,https://www.themoviedb.org/movie/823610
156,Ciao Alberto,75.0,"Animation, Comedy, Family, Fantasy",11/12/2021,7m,McKenna Jean Harris,https://www.themoviedb.org/movie/876716
157,Wrath of Man,77.0,"Action, Crime, Thriller",05/07/2021,1h 59m,Guy Ritchie,https://www.themoviedb.org/movie/637649
158,Sinkhole,71.0,"Comedy, Drama",08/11/2021,1h 53m,Kim Ji-hoon,https://www.themoviedb.org/movie/623135
159,Curious George: Cape Ahoy,24.0,"Animation, Adventure, Comedy",09/30/2021,1h 28m,Doug Murphy,https://www.themoviedb.org/movie/918832
160,Dragon Ball Super: Super Hero,0,"Animation, Science Fiction, Action",06/11/2022,,Akira Toriyama,https://www.themoviedb.org/movie/610150
161,Far From the Tree,82.0,"Animation, Family",11/24/2021,7m,Natalie Nourigat,https://www.themoviedb.org/movie/831827
162,The Avengers,77.0,"Science Fiction, Action, Adventure",04/27/2012,2h 23m,Joss Whedon,https://www.themoviedb.org/movie/24428
163,The Last: Naruto the Movie,78.0,"Action, Romance, Animation",12/06/2014,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
164,Snake Eyes: G.I. Joe Origins,67.0,"Action, Adventure",07/23/2021,2h 1m,Evan Spiliotopoulos,https://www.themoviedb.org/movie/568620
165,The Whole Truth,63.0,Horror,12/02/2021,2h 5m,Wisit Sasanatieng,https://www.themoviedb.org/movie/895001
166,Ripper Untold,64.0,Horror,06/28/2021,1h 25m,Steven Lawson,https://www.themoviedb.org/movie/820511
167,Naruto Shippuden the Movie,72.0,"Animation, Action, Fantasy",08/04/2007,1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
168,Gone Mom: The Disappearance of Jennifer Dulos,78.0,"TV Movie, Thriller, Crime",11/24/2021,1h 28m,Gail Harvey,https://www.themoviedb.org/movie/831223
169,Halloween Kills,67.0,"Horror, Thriller",10/15/2021,1h 45m,David Gordon Green,https://www.themoviedb.org/movie/610253
170,My Hero Academia: Heroes Rising,84.0,"Animation, Action, Fantasy, Adventure",12/20/2019,1h 44m,Kohei Horikoshi,https://www.themoviedb.org/movie/592350
171,Dragon Fury,62.0,"Horror, Fantasy, Mystery",06/15/2021,1h 28m,Scott Jeffrey,https://www.themoviedb.org/movie/839436
172,Son,61.0,"Horror, Thriller",08/06/2021,1h 38m,Ivan Kavanagh,https://www.themoviedb.org/movie/754934
173,Fortress,63.0,"Crime, Action, Thriller",12/17/2021,1h 40m,James Cullen Bressack,https://www.themoviedb.org/movie/826749
174,Apex,54.0,"Action, Thriller, Science Fiction",11/25/2021,1h 48m,Edward Drake,https://www.themoviedb.org/movie/763164
175,The Amazing Spider-Man,67.0,"Action, Adventure, Fantasy",06/29/2012,2h 16m,James Vanderbilt,https://www.themoviedb.org/movie/1930
176,Your Name.,85.0,"Romance, Animation, Drama",08/26/2016,1h 46m,Makoto Shinkai,https://www.themoviedb.org/movie/372058
177,Dynasty Warriors,64.0,"Action, Adventure, Fantasy",04/27/2021,1h 58m,Roy Chow Hin-Yeung,https://www.themoviedb.org/movie/525660
178,Brothers,71.0,"Drama, Thriller, War",12/02/2009,1h 44m,Jim Sheridan,https://www.themoviedb.org/movie/7445
179,The Privilege,50,Horror,02/09/2022,1h 47m,Felix Fuchssteiner,https://www.themoviedb.org/movie/926980
180,Sooryavanshi,58.0,"Action, Crime, Thriller",11/05/2021,2h 25m,Rohit Shetty,https://www.themoviedb.org/movie/592508
181,Avengers: Endgame,83.0,"Adventure, Science Fiction, Action",04/26/2019,3h 1m,Joe Russo,https://www.themoviedb.org/movie/299534
182,Ava,60,Drama,06/21/2017,1h 46m,Léa Mysius,https://www.themoviedb.org/movie/453354
183,The Deep House,65.0,Horror,06/30/2021,1h 25m,Julien Maury,https://www.themoviedb.org/movie/672582
184,Amina,64.0,"War, History, Drama",11/04/2021,2h,Izu Ojukwu,https://www.themoviedb.org/movie/885110
185,Survive the Game,58.0,"Action, Thriller, Crime",10/08/2021,1h 37m,James Cullen Bressack,https://www.themoviedb.org/movie/787310
186,Real Steel,69.0,"Action, Science Fiction, Drama",10/06/2011,2h 7m,Shawn Levy,https://www.themoviedb.org/movie/39254
187,Monster Hunter,68.0,"Action, Fantasy, Adventure",12/18/2020,1h 44m,Paul W. S. Anderson,https://www.themoviedb.org/movie/458576
188,Harry Potter and the Chamber of Secrets,77.0,"Adventure, Fantasy",04/25/2003,2h 41m,Chris Columbus,https://www.themoviedb.org/movie/672
189,The Wonderful Winter of Mickey Mouse,60,"Animation, Comedy",02/18/2022,24m,Ryan Gillis,https://www.themoviedb.org/movie/939336
190,Trolls Holiday in Harmony,74.0,"Animation, Fantasy, Family",11/27/2021,30m,Tim Heitz,https://www.themoviedb.org/movie/896221
191,After We Collided,73.0,"Romance, Drama",09/02/2020,1h 45m,Roger Kumble,https://www.themoviedb.org/movie/613504
192,Army of Thieves,69.0,"Crime, Comedy",10/29/2021,2h 7m,Shay Hatten,https://www.themoviedb.org/movie/796499
193,A Quiet Place Part II,76.0,"Science Fiction, Thriller, Horror",05/28/2021,1h 37m,John Krasinski,https://www.themoviedb.org/movie/520763
194,Erax,49.0,"Mystery, Family",02/17/2022,14m,Hebru Brantley,https://www.themoviedb.org/movie/929472
195,The Vault,70,"Crime, Action, Thriller",03/11/2021,1h 58m,Jaume Balagueró,https://www.themoviedb.org/movie/630004
196,The Lovely Bones,70,"Fantasy, Drama",01/15/2010,2h 16m,Peter Jackson,https://www.themoviedb.org/movie/7980
197,Knowing,61.0,"Action, Mystery, Science Fiction, Thriller",03/20/2009,2h 1m,Ryne Douglas Pearson,https://www.themoviedb.org/movie/13811
198,Harry Potter and the Goblet of Fire,78.0,"Adventure, Fantasy, Family",11/18/2005,2h 37m,Mike Newell,https://www.themoviedb.org/movie/674
199,Tyler Perry's A Madea Homecoming,69.0,Comedy,02/25/2022,1h 45m,Tyler Perry,https://www.themoviedb.org/movie/845404
200,Against the Ice,69.0,"Adventure, History, Drama",03/02/2022,1h 41m,Peter Flinth,https://www.themoviedb.org/movie/836009
201,Demonic,48.0,"Horror, Thriller",08/20/2021,1h 44m,Neill Blomkamp,https://www.themoviedb.org/movie/774021
