,Name,Rating,Genre,Release Date,Runtime,Director,Url
44,Shang-Chi and the Legend of the Ten Rings,77.0,"Action, Adventure, Fantasy",09/03/2021 (IN),2h 12m,Destin Daniel Cretton,https://www.themoviedb.org/movie/566525
45,Resident Evil: Welcome to Raccoon City,62.0,"Horror, Action, Science Fiction",11/26/2021 (IN),1h 47m,Johannes Roberts,https://www.themoviedb.org/movie/460458
46,Ghostbusters: Afterlife,77.0,"Fantasy, Comedy, Adventure",11/11/2021 (CA),2h 4m,Jason Reitman,https://www.themoviedb.org/movie/425909
47,Jackass Forever,69.0,"Comedy, Documentary",02/04/2022 (US),1h 36m,Jeff Tremaine,https://www.themoviedb.org/movie/656663
48,Scream,68.0,"Horror, Mystery, Thriller",01/14/2022 (US),1h 54m,Kevin Williamson,https://www.themoviedb.org/movie/646385
49,The Boss Baby: Family Business,76.0,"Animation, Comedy, Adventure, Family",07/02/2021 (US),1h 47m,Michael McCullers,https://www.themoviedb.org/movie/459151
50,The Matrix Resurrections,67.0,"Science Fiction, Action, Adventure",12/22/2021 (US),2h 28m,Lana Wachowski,https://www.themoviedb.org/movie/624860
51,The Northman,80,"Action, Adventure, Drama",04/22/2022 (US),2h 17m,Robert Eggers,https://www.themoviedb.org/movie/639933
52,American Siege,57.0,"Action, Thriller, Crime, Drama",03/31/2022 (RU),1h 30m,Edward Drake,https://www.themoviedb.org/movie/766907
53,Looop Lapeta,62.0,"Action, Comedy, Crime",02/04/2022 (IN),2h 11m,Aakash Bhatia,https://www.themoviedb.org/movie/783461
54,The Lost City,70,"Action, Adventure, Comedy, Romance",03/25/2022 (US),1h 52m,Aaron Nee,https://www.themoviedb.org/movie/752623
55,The Seven Deadly Sins: Cursed by Light,79.0,"Animation, Fantasy",07/02/2021 (JP),1h 19m,Takayuki Hamana,https://www.themoviedb.org/movie/843241
56,The Bubble,48.0,Comedy,03/25/2022 (US),2h 6m,Judd Apatow,https://www.themoviedb.org/movie/765119
57,The House,70,"Animation, Drama, Comedy, Horror",01/14/2022 (GB),1h 37m,Marc James Roels,https://www.themoviedb.org/movie/926899
58,PAW Patrol: The Movie,75.0,"Animation, Family, Adventure, Comedy",08/20/2021 (US),1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
59,Death on the Nile,65.0,"Crime, Drama, Mystery, Thriller",02/11/2022 (US),2h 7m,Kenneth Branagh,https://www.themoviedb.org/movie/505026
60,Tom and Jerry: Cowboy Up!,70,"Animation, Comedy, Family, Western",01/25/2022 (US),1h 15m,Joseph Barbera,https://www.themoviedb.org/movie/892153
61,Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy",11/10/2021 (US),1h 37m,Norman Bridwell,https://www.themoviedb.org/movie/585245
62,Texas Chainsaw Massacre,52.0,"Horror, Thriller",02/18/2022 (US),1h 23m,Kim Henkel,https://www.themoviedb.org/movie/632727
63,The Bad Guys,75.0,"Animation, Comedy, Action, Family, Crime",04/22/2022 (US),1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
64,Red Notice,68.0,"Action, Comedy, Crime, Thriller",11/05/2021 (US),1h 58m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195
65,The 355,60,"Action, Thriller",01/07/2022 (US),2h 2m,Simon Kinberg,https://www.themoviedb.org/movie/522016
66,Dancing on Glass,59.0,Drama,04/08/2022 (US),2h 17m,Jota Linares,https://www.themoviedb.org/movie/800407
67,Forever Out of My League,56.0,"Romance, Comedy",01/31/2022 (IT),1h 44m,Roberto Proia,https://www.themoviedb.org/movie/790525
68,Through My Window,77.0,"Romance, Drama",02/04/2022 (ES),1h 52m,Marçal Forés,https://www.themoviedb.org/movie/818647
69,Deep Water,56.0,"Drama, Mystery, Thriller",03/18/2022 (US),1h 56m,Adrian Lyne,https://www.themoviedb.org/movie/619979
70,Luca,80,"Animation, Comedy, Family, Fantasy, Adventure",06/17/2021 (RU),1h 35m,Enrico Casarosa,https://www.themoviedb.org/movie/508943
71,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,63.0,"Animation, Action, Adventure, Fantasy",07/30/2021 (JP),1h 34m,Toshifumi Akai,https://www.themoviedb.org/movie/829920
72,The Simpsons in Plusaversary,67.0,"Animation, Comedy, Fantasy",11/12/2021 (US),4m,David Silverman,https://www.themoviedb.org/movie/877183
73,Sex Appeal,66.0,"Comedy, Romance",01/14/2022 (US),1h 30m,Talia Osteen,https://www.themoviedb.org/movie/803104
74,Battle: Freestyle,49.0,"Romance, Drama",04/01/2022 (US),1h 28m,Ingvild Søderlind,https://www.themoviedb.org/movie/785521
75,Mortal Kombat,72.0,"Action, Fantasy, Adventure",04/23/2021 (IN),1h 50m,Greg Russo,https://www.themoviedb.org/movie/460465
76,Chernobyl: Abyss,62.0,"Drama, History, Adventure",04/15/2021 (RU),2h 16m,Danila Kozlovsky,https://www.themoviedb.org/movie/589761
77,Coraline,78.0,"Animation, Family, Fantasy",02/06/2009 (US),1h 40m,Henry Selick,https://www.themoviedb.org/movie/14836
78,One Shot,68.0,Action,01/21/2022 (ES),1h 37m,James Nunn,https://www.themoviedb.org/movie/811592
79,Ron's Gone Wrong,81.0,"Animation, Science Fiction, Family, Comedy",10/22/2021 (US),1h 47m,Sarah Smith,https://www.themoviedb.org/movie/482321
80,Doctor Strange in the Multiverse of Madness,0,"Fantasy, Action, Adventure",05/06/2022 (US),2h 6m,Steve Ditko,https://www.themoviedb.org/movie/453395
81,All Hail,62.0,"Comedy, Drama",03/30/2022 (AR),1h 58m,Marcos Carnevale,https://www.themoviedb.org/movie/682344
82,Brazen,49.0,"Thriller, Mystery, Drama",01/13/2022 (US),1h 34m,Monika Mitchell,https://www.themoviedb.org/movie/916740
83,Free Guy,77.0,"Comedy, Action, Adventure, Science Fiction",09/17/2021 (IN),1h 55m,Matt Lieberman,https://www.themoviedb.org/movie/550988
84,No Time to Die,75.0,"Adventure, Action, Thriller",09/30/2021 (IN),2h 43m,Cary Joji Fukunaga,https://www.themoviedb.org/movie/370172
85,Dune,79.0,"Science Fiction, Adventure",10/22/2021 (IN),2h 35m,Denis Villeneuve,https://www.themoviedb.org/movie/438631
86,Cruella,82.0,"Comedy, Crime",05/28/2021 (US),2h 14m,Craig Gillespie,https://www.themoviedb.org/movie/337404
87,Jujutsu Kaisen 0,77.0,"Animation, Action, Adventure, Mystery",12/24/2021 (JP),1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
88,Avengers: Infinity War,83.0,"Adventure, Action, Science Fiction",04/27/2018 (IN),2h 29m,Anthony Russo,https://www.themoviedb.org/movie/299536
89,The Suicide Squad,77.0,"Action, Adventure, Fantasy",08/06/2021 (IN),2h 12m,James Gunn,https://www.themoviedb.org/movie/436969
90,Fantastic Beasts and Where to Find Them,74.0,"Adventure, Fantasy",11/18/2016 (IN),2h 12m,J.K. Rowling,https://www.themoviedb.org/movie/259316
91,After We Fell,71.0,"Romance, Drama",09/30/2021 (US),1h 39m,Castille Landon,https://www.themoviedb.org/movie/744275
92,The Last Warrior: Root of Evil,72.0,"Fantasy, Adventure, Comedy",01/01/2021 (RU),2h,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
93,Queen of Spades,62.0,Horror,08/19/2021 (RU),1h 31m,Patrick White,https://www.themoviedb.org/movie/829358
94,Ambulance,67.0,"Action, Crime, Thriller",04/08/2022 (US),2h 16m,Michael Bay,https://www.themoviedb.org/movie/763285
95,The Hunting,52.0,Horror,01/21/2022 (US),1h 31m,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671
96,Better Nate Than Ever,70,"Music, Family, Comedy",04/01/2022 (US),1h 32m,Tim Federle,https://www.themoviedb.org/movie/826953
97,F9,73.0,"Action, Crime, Thriller, Adventure",06/25/2021 (IN),2h 23m,Justin Lin,https://www.themoviedb.org/movie/385128
98,Echoes of a Crime,70,"Thriller, Horror",01/27/2022 (AR),,Cristian Bernard,https://www.themoviedb.org/movie/842052
99,Marry Me,68.0,"Romance, Comedy, Music",02/11/2022 (US),1h 52m,Kat Coiro,https://www.themoviedb.org/movie/615904
100,Diary of a Wimpy Kid,64.0,"Animation, Comedy, Family",12/03/2021 (US),58m,Jeff Kinney,https://www.themoviedb.org/movie/774741
101,Mother/Android,58.0,"Science Fiction, Thriller",12/17/2021 (US),1h 51m,Mattson Tomlin,https://www.themoviedb.org/movie/739413
102,Zack Snyder's Justice League,83.0,"Action, Adventure, Fantasy, Science Fiction",03/18/2021 (IN),4h 2m,Zack Snyder,https://www.themoviedb.org/movie/791373
